[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 3/300 | step 39,000/50,000] return=92.121 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 40,000/50,000] return=92.121 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 41,000/50,000] return=92.121 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 42,000/50,000] return=92.121 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 43,000/50,000] return=92.121 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 44,000/50,000] return=105.471 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=32, y=15, map=33)
[episode 3/300 | step 45,000/50,000] return=111.671 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=33, y=10, map=33)
[episode 3/300 | step 46,000/50,000] return=112.771 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=20, y=15, map=33)
[episode 3/300 | step 47,000/50,000] return=112.971 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=32, y=15, map=33)
[episode 3/300 | step 48,000/50,000] return=113.780 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=33, y=11, map=33)
[episode 3/300 | step 49,000/50,000] return=113.780 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=33, y=11, map=33)
[episode 3/300 | step 50,000/50,000] return=114.680 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=34, y=14, map=33)
[episode 3/300] complete steps=50,000 return=114.680 goal_reached=False total_success=0 rate=0.00%
[episode 4/300] resetting environment...
[episode 4/300] started (reset=0.0s, max_steps=50,000)
[episode 4/300 | step 1,000/50,000] return=1.900 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=2, map=38)
[episode 4/300 | step 2,000/50,000] return=2.550 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 4/300 | step 3,000/50,000] return=2.550 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 4/300 | step 4,000/50,000] return=2.600 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=1, y=4, map=38)
[episode 4/300 | step 5,000/50,000] return=3.250 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 4/300 | step 6,000/50,000] return=3.250 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 4/300 | step 7,000/50,000] return=11.600 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=7, map=0)
[episode 4/300 | step 8,000/50,000] return=40.500 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 4/300 | step 9,000/50,000] return=45.750 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=1, y=2, map=40)
[episode 4/300 | step 10,000/50,000] return=50.350 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 4/300 | step 11,000/50,000] return=50.650 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=3, map=40)
[episode 4/300 | step 12,000/50,000] return=58.701 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 4/300 | step 13,000/50,000] return=59.901 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=11, map=0)
[episode 4/300 | step 14,000/50,000] return=62.101 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=30, map=12)
[episode 4/300 | step 15,000/50,000] return=66.058 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 4/300 | step 16,000/50,000] return=69.458 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=11, map=0)
[episode 4/300 | step 17,000/50,000] return=69.658 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=13, map=0)
[episode 4/300 | step 18,000/50,000] return=70.258 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=13, map=0)
